plotID,sev_spec,spec_year,hansen_loss,hansen_lossyear,hansen_loss_frac,fire,fire_year,sev_loss,d_spec,d_loss,d_fire,disturbed,dist_year,recency,severity
TALL_046,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_047,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_048,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_049,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_050,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_051,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_052,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_053,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_054,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_055,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_056,0.0,,1,2016,1.0,1,2024,1.0,0,1,1,1,2024.0,1.0,1.0
TALL_057,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_058,0.0,,1,2016,0.25,1,2024,0.25,0,1,1,1,2024.0,1.0,0.25
TALL_059,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_060,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_061,0.0,,0,0,0.0,1,2024,0.0,0,0,1,1,2024.0,1.0,0.0
TALL_064,0.0,,0,0,0.0,1,2021,0.0,0,0,1,1,2021.0,4.0,0.0
TEAK_001,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_002,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_003,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_004,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_005,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_006,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_007,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_010,0.0,,1,2015,0.25,0,0,0.25,0,1,0,1,2015.0,10.0,0.25
TEAK_011,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_012,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_013,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_014,0.0,,1,2015,0.5,0,0,0.5,0,1,0,1,2015.0,10.0,0.5
TEAK_015,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_016,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_017,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_018,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_019,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_020,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_024,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_025,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_043,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_044,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_045,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_046,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_047,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_048,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_049,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_050,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_051,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_052,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_053,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_054,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_055,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_056,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_057,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_058,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_059,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_060,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_061,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TEAK_062,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_001,0.0,,1,2020,0.5,0,0,0.5,0,1,0,1,2020.0,5.0,0.5
TREE_002,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_003,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_004,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_005,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_006,0.20998168862621552,2017.0,1,2017,0.5,0,0,0.5,1,1,0,1,2017.0,8.0,0.7099816886262156
TREE_007,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_008,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_009,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_010,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_011,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_012,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_014,0.0,,1,2020,0.25,0,0,0.25,0,1,0,1,2020.0,5.0,0.25
TREE_015,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_016,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_017,0.0,,1,2010,0.5,0,0,0.5,0,1,0,1,2010.0,15.0,0.5
TREE_018,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_019,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_022,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_023,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_025,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_039,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_040,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_041,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_042,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_043,0.0,,1,2004,1.0,0,0,1.0,0,1,0,1,2004.0,21.0,1.0
TREE_044,0.0,,1,2004,0.75,0,0,0.75,0,1,0,1,2004.0,21.0,0.75
TREE_045,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_046,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_047,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_048,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_049,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_050,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_051,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_052,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_053,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_054,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_055,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_056,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_057,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_060,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_062,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_063,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
TREE_064,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_001,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_002,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_003,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_006,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_007,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_008,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_010,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_011,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_012,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_013,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_014,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_015,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_016,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_018,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_019,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_020,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_021,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_022,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_023,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_027,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_037,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_038,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_043,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_044,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_045,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_047,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_048,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_049,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_050,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_052,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_054,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_055,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_056,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_057,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_058,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_059,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_060,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_061,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_065,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
UNDE_078,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_001,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_002,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_003,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_004,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_005,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_006,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_007,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_008,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_009,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_010,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_011,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_012,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_013,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_014,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_015,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_016,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_017,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_018,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_019,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_020,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_070,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_071,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_072,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_073,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_074,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_075,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_076,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_077,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_078,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_079,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_080,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_081,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_082,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_083,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_084,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_085,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_086,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_087,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_088,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
WREF_089,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
